entity_id,entity_type,schema_version,food_id,name,name_en,group_name,group,portion_g,portion_basis,energy_kcal,protein_g,carbs_g,fat_g,fiber_g,calculated_kcal_from_macros,kcal_gap_pct,quality_score,missing_nutrients_count,meal_suggestion,provenance,source_code,updated_at
food_11014,food,v1,11014,Vải nước đường,"Litchi, canned sweetened",Đồ hộp,Đồ hộp,100,per_100g,65.0,0.4,15.8,,,64.8,0.31,0.69,8,General,Viện Dinh dưỡng Quốc gia,11014,2026-02-11T19:10:16Z
food_11015,food,v1,11015,Cá thu hộp,"Mackerel, canned",Đồ hộp,Đồ hộp,100,per_100g,207.0,24.8,,12.0,,207.2,0.1,0.69,8,General,Viện Dinh dưỡng Quốc gia,11015,2026-02-11T19:10:16Z
food_11016,food,v1,11016,Cá trích hộp,"Herring, canned",Đồ hộp,Đồ hộp,100,per_100g,233.0,22.3,3.5,14.4,,232.8,0.09,0.84,8,General,Viện Dinh dưỡng Quốc gia,11016,2026-02-11T19:10:16Z
food_11017,food,v1,11017,Thịt bò hộp,"Beef, canned",Đồ hộp,Đồ hộp,100,per_100g,251.0,16.4,,20.6,,251.0,0.0,0.69,8,General,Viện Dinh dưỡng Quốc gia,11017,2026-02-11T19:10:16Z
food_11018,food,v1,11018,Thịt gà hộp,"Chicken, canned",Đồ hộp,Đồ hộp,100,per_100g,273.0,17.0,,22.8,,273.2,0.07,0.69,8,General,Viện Dinh dưỡng Quốc gia,11018,2026-02-11T19:10:16Z
food_11019,food,v1,11019,Thịt lợn hộp,"Pork, canned",Đồ hộp,Đồ hộp,100,per_100g,344.0,17.3,2.7,29.3,,343.7,0.09,0.84,8,General,Viện Dinh dưỡng Quốc gia,11019,2026-02-11T19:10:16Z
food_11020,food,v1,11020,"Thịt lợn, thịt bò xay hộp",Pork beef mince canned,Đồ hộp,Đồ hộp,100,per_100g,244.0,16.0,,20.0,,244.0,0.0,0.69,8,General,Viện Dinh dưỡng Quốc gia,11020,2026-02-11T19:10:16Z
food_11021,food,v1,11021,Thịt vịt hầm,"Duck, stewed meat",Đồ hộp,Đồ hộp,100,per_100g,224.0,19.6,,16.2,,224.2,0.09,0.69,8,General,Viện Dinh dưỡng Quốc gia,11021,2026-02-11T19:10:16Z
food_11022,food,v1,11022,Cá ngừ hộp,,Đồ hộp,Đồ hộp,100,per_100g,85.0,19.0,0.08,0.94,,84.78,0.26,0.86,7,General,Viện Dinh dưỡng Quốc gia,11022,2026-02-11T19:10:16Z
food_11023,food,v1,11023,Cá nục hộp,,Đồ hộp,Đồ hộp,100,per_100g,233.0,22.3,3.5,14.4,,232.8,0.09,0.84,8,General,Viện Dinh dưỡng Quốc gia,11023,2026-02-11T19:10:16Z
food_12001,food,v1,12001,Bánh bích cốt,Whole wheat rusk,"Đồ ngọt (đường, bánh, mứt, kẹo)","Đồ ngọt (đường, bánh, mứt, kẹo)",100,per_100g,349.0,12.3,72.1,1.3,,349.3,0.09,0.84,8,General,Viện Dinh dưỡng Quốc gia,12001,2026-02-11T19:10:16Z
