food_id,name,group,portion_g,energy_kcal,protein_g,carbs_g,fat_g,calculated_kcal_from_macros,meal_suggestion,provenance
12077,Kem que Merino Cacao - Sô cô la,"Đồ ngọt (đường, bánh, mứt, kẹo)",100,227.0,3.8,28.2,11.0,227.0,General,Viện Dinh dưỡng Quốc gia
12078,Kem đậu xanh,"Đồ ngọt (đường, bánh, mứt, kẹo)",100,227.0,3.8,28.2,11.0,227.0,General,Viện Dinh dưỡng Quốc gia
12079,Kem tươi,"Đồ ngọt (đường, bánh, mứt, kẹo)",100,,335.0,35.5,2.4,1503.6,General,Viện Dinh dưỡng Quốc gia
12084,Bánh bông lan,"Đồ ngọt (đường, bánh, mứt, kẹo)",100,489.0,5.1,50.8,29.5,489.1,General,Viện Dinh dưỡng Quốc gia
12085,Bánh gấu,"Đồ ngọt (đường, bánh, mứt, kẹo)",100,475.7,5.41,64.86,21.62,475.66,General,Viện Dinh dưỡng Quốc gia
12086,Bánh ngũ cốc cao năng lượng,"Đồ ngọt (đường, bánh, mứt, kẹo)",100,500.0,14.1,39.1,31.9,499.9,General,Viện Dinh dưỡng Quốc gia
12087,Bánh quy tròn nhân kem Ritz,"Đồ ngọt (đường, bánh, mứt, kẹo)",100,507.0,6.9,56.3,28.3,507.5,General,Viện Dinh dưỡng Quốc gia
12088,Bánh trứng Custas,"Đồ ngọt (đường, bánh, mứt, kẹo)",100,434.0,4.26,46.81,25.53,434.05,General,Viện Dinh dưỡng Quốc gia
12089,Bánh gối,"Đồ ngọt (đường, bánh, mứt, kẹo)",100,318.0,3.7,55.42,9.1,318.38,General,Viện Dinh dưỡng Quốc gia
12090,Bánh rán nhân đỗ,"Đồ ngọt (đường, bánh, mứt, kẹo)",100,318.0,3.7,55.42,9.1,318.38,General,Viện Dinh dưỡng Quốc gia
12091,Bánh tiêu,"Đồ ngọt (đường, bánh, mứt, kẹo)",100,318.0,3.7,55.42,9.1,318.38,General,Viện Dinh dưỡng Quốc gia
13001,Cary bột,"Gia vị, nước chấm",100,318.0,8.2,54.9,7.3,318.1,General,Viện Dinh dưỡng Quốc gia
13002,Gừng khô (bột),"Gia vị, nước chấm",100,346.0,7.6,74.5,2.9,354.5,General,Viện Dinh dưỡng Quốc gia
13003,Gừng tươi,"Gia vị, nước chấm",100,41.0,0.4,8.59,0.51,40.55,General,Viện Dinh dưỡng Quốc gia
13004,Hạt tiêu,"Gia vị, nước chấm",100,365.0,7.0,67.6,7.4,365.0,General,Viện Dinh dưỡng Quốc gia
13005,Muối,"Gia vị, nước chấm",100,0.0,0.0,0.0,0.0,0.0,General,Viện Dinh dưỡng Quốc gia
13006,"Nghệ khô, bột","Gia vị, nước chấm",100,380.0,7.83,64.91,9.88,379.88,General,Viện Dinh dưỡng Quốc gia
13007,Nghệ tươi,"Gia vị, nước chấm",100,51.0,1.1,11.0,0.3,51.1,General,Viện Dinh dưỡng Quốc gia
13008,ớt khô bột,"Gia vị, nước chấm",100,322.0,15.6,55.4,4.2,321.8,General,Viện Dinh dưỡng Quốc gia
13009,Riềng,"Gia vị, nước chấm",100,26.0,0.3,6.2,0.0,26.0,General,Viện Dinh dưỡng Quốc gia
13010,Magi,"Gia vị, nước chấm",100,65.0,10.0,6.1,0.1,65.3,General,Viện Dinh dưỡng Quốc gia
13011,Mắm tôm đặc,"Gia vị, nước chấm",100,73.0,14.8,0.0,1.5,72.7,General,Viện Dinh dưỡng Quốc gia
13012,Mắm tôm loãng,"Gia vị, nước chấm",100,44.0,7.0,2.1,0.8,43.6,General,Viện Dinh dưỡng Quốc gia
13013,Mắm tép chua,"Gia vị, nước chấm",100,68.0,8.7,5.5,1.2,67.6,General,Viện Dinh dưỡng Quốc gia
13014,Nước mắm cá (loại đặc biệt),"Gia vị, nước chấm",100,60.0,15.0,0.0,0.0,60.0,General,Viện Dinh dưỡng Quốc gia
13015,Nước mắm loại I,"Gia vị, nước chấm",100,28.0,7.1,0.0,0.0,28.4,General,Viện Dinh dưỡng Quốc gia
13016,Nước mắm loại II,"Gia vị, nước chấm",100,21.0,5.2,0.0,0.0,20.8,General,Viện Dinh dưỡng Quốc gia
13017,Nước mắm cá,"Gia vị, nước chấm",100,35.0,5.06,3.64,0.01,34.89,General,Viện Dinh dưỡng Quốc gia
13018,Nước mắm cô,"Gia vị, nước chấm",100,131.0,32.8,0.0,0.0,131.2,General,Viện Dinh dưỡng Quốc gia
13019,Tương ngô,"Gia vị, nước chấm",100,75.0,3.9,14.5,0.1,74.5,General,Viện Dinh dưỡng Quốc gia
13020,Tương nếp,"Gia vị, nước chấm",100,86.0,4.3,15.7,0.7,86.3,General,Viện Dinh dưỡng Quốc gia
13021,Tương ớt,"Gia vị, nước chấm",100,41.0,0.5,8.5,0.5,40.5,General,Viện Dinh dưỡng Quốc gia
13022,Xì dầu,"Gia vị, nước chấm",100,55.0,6.3,7.46,0.04,55.4,General,Viện Dinh dưỡng Quốc gia
13023,Sốt mayonnaise,"Gia vị, nước chấm",100,701.0,0.0,0.1,77.8,700.6,General,Viện Dinh dưỡng Quốc gia
13024,Sả,"Gia vị, nước chấm",100,,0.8,16.5,1.0,78.2,General,Viện Dinh dưỡng Quốc gia
13025,Bột canh,"Gia vị, nước chấm",100,62.2,1.05,14.5,0.0,62.2,General,Viện Dinh dưỡng Quốc gia
13026,Bột nêm,"Gia vị, nước chấm",100,188.0,12.73,30.18,1.82,188.02,General,Viện Dinh dưỡng Quốc gia
13027,Dầu hào,"Gia vị, nước chấm",100,73.0,2.9,14.7,0.3,73.1,General,Viện Dinh dưỡng Quốc gia
13028,Gia vị,"Gia vị, nước chấm",100,62.2,1.05,14.5,0.0,62.2,General,Viện Dinh dưỡng Quốc gia
13029,Mỳ chính,"Gia vị, nước chấm",100,282.0,0.0,0.0,0.0,0.0,General,Viện Dinh dưỡng Quốc gia
13030,Ngũ vị hương,"Gia vị, nước chấm",100,,0.0,0.0,0.0,0.0,General,Viện Dinh dưỡng Quốc gia
13031,Nước hàng,"Gia vị, nước chấm",100,,0.0,0.0,0.0,0.0,General,Viện Dinh dưỡng Quốc gia
13032,Nước sốt cà chua,"Gia vị, nước chấm",100,,1.1,27.4,0.1,114.9,General,Viện Dinh dưỡng Quốc gia
13034,Giấm ăn,"Gia vị, nước chấm",100,21.0,0.0,0.93,0.0,3.72,General,Viện Dinh dưỡng Quốc gia
13039,Ớt tươi,"Gia vị, nước chấm",100,18.0,1.4,2.6,0.2,17.8,General,Viện Dinh dưỡng Quốc gia
13044,Mù tạt,"Gia vị, nước chấm",100,69.0,4.25,5.3,3.38,68.62,General,Viện Dinh dưỡng Quốc gia
13045,Bột chiên giòn,"Gia vị, nước chấm",100,351.6,8.5,74.9,2.0,351.6,General,Viện Dinh dưỡng Quốc gia
13046,Bột năng,"Gia vị, nước chấm",100,343.0,0.7,85.1,0.0,343.2,General,Viện Dinh dưỡng Quốc gia
13049,Mẻ,"Gia vị, nước chấm",100,,0.0,0.0,0.0,0.0,General,Viện Dinh dưỡng Quốc gia
13054,Sa tế,"Gia vị, nước chấm",100,70.0,1.1,4.1,5.5,70.3,General,Viện Dinh dưỡng Quốc gia
13056,Bột hạt điều đỏ,"Gia vị, nước chấm",100,,11.5,42.2,2.23,234.87,General,Viện Dinh dưỡng Quốc gia
13059,Lá chanh,"Gia vị, nước chấm",100,91.0,4.25,18.46,0.0,90.84,General,Viện Dinh dưỡng Quốc gia
13067,Bột chiên xù,"Gia vị, nước chấm",100,383.0,11.4,75.9,3.75,382.95,General,Viện Dinh dưỡng Quốc gia
13072,Hạt ý dĩ,"Gia vị, nước chấm",100,358.0,14.2,67.2,3.6,358.0,General,Viện Dinh dưỡng Quốc gia
13073,Nước ướp gà nướng,"Gia vị, nước chấm",100,,0.82,40.8,0.63,172.15,General,Viện Dinh dưỡng Quốc gia
13074,Nước ướp thịt kho,"Gia vị, nước chấm",100,269.9,2.8,49.6,6.7,269.9,General,Viện Dinh dưỡng Quốc gia
13075,Gói thuốc bắc (dùng để hầm thịt),"Gia vị, nước chấm",100,281.0,4.72,72.5,0.5,313.38,General,Viện Dinh dưỡng Quốc gia
14001,"Bia (cồn: 4,5 g)",Nước giải khát,100,43.0,0.5,2.3,0.0,11.2,General,Viện Dinh dưỡng Quốc gia
14002,Cô nhắc (cồn 32 g),Nước giải khát,100,224.0,0.0,0.0,0.0,0.0,General,Viện Dinh dưỡng Quốc gia
14003,Cốc tain (cồn 13 g),Nước giải khát,100,155.0,0.0,15.74,0.0,62.96,General,Viện Dinh dưỡng Quốc gia
14004,Coca cola,Nước giải khát,100,42.0,0.0,10.4,0.0,41.6,General,Viện Dinh dưỡng Quốc gia
14005,Nước cam tươi,Nước giải khát,100,23.0,0.7,4.7,0.2,23.4,General,Viện Dinh dưỡng Quốc gia
